filename,area,threshold,upscaled
1.jpg,179732,19828.5,No
2.jpg,363792,19828.5,No
3.jpg,19360,19828.5,Yes
4.jpg,34028,19828.5,No
5.jpg,809190,19828.5,No
6.jpg,374508,19828.5,No
7.jpg,24794,19828.5,No
8.jpg,18204,19828.5,Yes
9.jpg,42656,19828.5,No
10.jpg,261508,19828.5,No
11.jpg,19950,19828.5,No
12.jpg,157974,19828.5,No
13.jpg,21962,19828.5,No
14.jpg,28274,19828.5,No
15.jpg,83148,19828.5,No
16.jpg,20930,19828.5,No
17.jpg,82134,19828.5,No
18.jpg,84056,19828.5,No
19.jpg,279620,19828.5,No
20.jpg,195873,19828.5,No
21.jpg,73902,19828.5,No
22.jpg,22920,19828.5,No
23.jpg,159198,19828.5,No
24.jpg,94302,19828.5,No
25.jpg,23739,19828.5,No
26.jpg,1221178,19828.5,No
27.jpg,18612,19828.5,Yes
28.jpg,82726,19828.5,No
29.jpg,47610,19828.5,No
30.jpg,60940,19828.5,No
31.jpg,26878,19828.5,No
32.jpg,288687,19828.5,No
33.jpg,30589,19828.5,No
34.jpg,18560,19828.5,Yes
35.jpg,33300,19828.5,No
36.jpg,49764,19828.5,No
37.jpg,68200,19828.5,No
38.jpg,85557,19828.5,No
39.jpg,13950,19828.5,Yes
40.jpg,292050,19828.5,No
41.jpg,185368,19828.5,No
42.jpg,130410,19828.5,No
43.jpg,318472,19828.5,No
44.jpg,144412,19828.5,No
45.jpg,21830,19828.5,No
46.jpg,211680,19828.5,No
47.jpg,15908,19828.5,Yes
48.jpg,247040,19828.5,No
49.jpg,453296,19828.5,No
50.jpg,24644,19828.5,No
51.jpg,2594961,19828.5,No
52.jpg,364496,19828.5,No
53.jpg,10614,19828.5,Yes
54.jpg,16362,19828.5,Yes
55.jpg,177510,19828.5,No
56.jpg,53742,19828.5,No
57.jpg,9900,19828.5,Yes
58.jpg,10875,19828.5,Yes
59.jpg,429000,19828.5,No
60.jpg,15548,19828.5,Yes
61.jpg,14362,19828.5,Yes
62.jpg,6336,19828.5,Yes
63.jpg,17784,19828.5,Yes
64.jpg,10564,19828.5,Yes
65.jpg,10560,19828.5,Yes
66.jpg,12654,19828.5,Yes
67.jpg,22755,19828.5,No
68.jpg,315112,19828.5,No
69.jpg,19323,19828.5,Yes
70.jpg,164348,19828.5,No
71.jpg,22464,19828.5,No
72.jpg,14260,19828.5,Yes
73.jpg,12852,19828.5,Yes
74.jpg,15548,19828.5,Yes
75.jpg,22080,19828.5,No
76.jpg,22385,19828.5,No
77.jpg,199019,19828.5,No
78.jpg,13090,19828.5,Yes
79.jpg,13104,19828.5,Yes
80.jpg,9702,19828.5,Yes
81.jpg,11094,19828.5,Yes
82.jpg,11438,19828.5,Yes
83.jpg,15150,19828.5,Yes
84.jpg,12093,19828.5,Yes
85.jpg,16848,19828.5,Yes
86.jpg,45414,19828.5,No
87.jpg,321057,19828.5,No
88.jpg,15400,19828.5,Yes
89.jpg,9675,19828.5,Yes
90.jpg,1000739,19828.5,No
91.jpg,17135,19828.5,Yes
92.jpg,26700,19828.5,No
93.jpg,129920,19828.5,No
94.jpg,212480,19828.5,No
95.jpg,57200,19828.5,No
96.jpg,353668,19828.5,No
97.jpg,65858,19828.5,No
98.jpg,27565,19828.5,No
99.jpg,27000,19828.5,No
100.jpg,7018,19828.5,Yes
101.jpg,29440,19828.5,No
102.jpg,9440,19828.5,Yes
103.jpg,515280,19828.5,No
104.jpg,44506,19828.5,No
105.jpg,23560,19828.5,No
106.jpg,9828,19828.5,Yes
107.jpg,16320,19828.5,Yes
108.jpg,12496,19828.5,Yes
109.jpg,413134,19828.5,No
110.jpg,444224,19828.5,No
111.jpg,66316,19828.5,No
112.jpg,48094,19828.5,No
113.jpg,21296,19828.5,No
114.jpg,77120,19828.5,No
115.jpg,30927,19828.5,No
116.jpg,23875,19828.5,No
117.jpg,29680,19828.5,No
118.jpg,27176,19828.5,No
119.jpg,558140,19828.5,No
120.jpg,33600,19828.5,No
121.jpg,10323,19828.5,Yes
122.jpg,31980,19828.5,No
123.jpg,35256,19828.5,No
124.jpg,43956,19828.5,No
125.jpg,18837,19828.5,Yes
126.jpg,31152,19828.5,No
127.jpg,25160,19828.5,No
128.jpg,16060,19828.5,Yes
129.jpg,22080,19828.5,No
130.jpg,585090,19828.5,No
131.jpg,16224,19828.5,Yes
132.jpg,88660,19828.5,No
133.jpg,19436,19828.5,Yes
134.jpg,25092,19828.5,No
135.jpg,29118,19828.5,No
136.jpg,22494,19828.5,No
137.jpg,38475,19828.5,No
138.jpg,43940,19828.5,No
139.jpg,23290,19828.5,No
140.jpg,331409,19828.5,No
141.jpg,61944,19828.5,No
142.jpg,32742,19828.5,No
143.jpg,48616,19828.5,No
144.jpg,27072,19828.5,No
145.jpg,21960,19828.5,No
146.jpg,32200,19828.5,No
147.jpg,2277812,19828.5,No
148.jpg,2107736,19828.5,No
149.jpg,2660295,19828.5,No
150.jpg,311472,19828.5,No
151.jpg,736263,19828.5,No
152.jpg,1224930,19828.5,No
153.jpg,2314483,19828.5,No
154.jpg,1845152,19828.5,No
155.jpg,1486215,19828.5,No
156.jpg,30940,19828.5,No
157.jpg,1428574,19828.5,No
158.jpg,1579288,19828.5,No
159.jpg,1185600,19828.5,No
160.jpg,4897678,19828.5,No
161.jpg,12480,19828.5,Yes
162.jpg,287040,19828.5,No
163.jpg,264610,19828.5,No
164.jpg,406394,19828.5,No
165.jpg,201146,19828.5,No
166.jpg,161538,19828.5,No
167.jpg,532518,19828.5,No
168.jpg,106260,19828.5,No
169.jpg,262276,19828.5,No
170.jpg,280170,19828.5,No
171.jpg,88480,19828.5,No
172.jpg,273312,19828.5,No
173.jpg,163652,19828.5,No
174.jpg,149093,19828.5,No
175.jpg,76194,19828.5,No
176.jpg,255195,19828.5,No
177.jpg,71440,19828.5,No
178.jpg,107535,19828.5,No
179.jpg,119184,19828.5,No
180.jpg,2987520,19828.5,No
181.jpg,54747,19828.5,No
182.jpg,100386,19828.5,No
183.jpg,105462,19828.5,No
184.jpg,141501,19828.5,No
185.jpg,54560,19828.5,No
186.jpg,13794,19828.5,Yes
